search_str,new_display_name,ch_no
101 NFL Channel,NFL Channel,
120 ABC News Live,ABC NEWS LIVE,
121 NBC News NOW,NBC NEWS NOW,
122 CBS News 24/7,CBS NEWS 24/7,
123 LiveNOW from FOX,LiveNOW from FOX,
123 LiveNOW from FOX,LiveNOW from FOX,
125 CNN Headlines,CNN Headlines,
138 BBC News,BBC NEWS,346
145 CNN Originals,CNN Originals,
152 WABC ABC7 New York,ABC (WABC) NEW YORK HD,7
154 FOX 5 Washington D.C.,FOX (WNYW) NEW YORK,11
1950 CNN Headlines,CNN Headlines,
201 ION,ION,12
201 OUTDOOR TV,Outdoor Channel HD,606
202 ION Plus,ION Plus,
220 Paramount Movie Channel,Paramount Movie Channel,
224 GET,getTV,83
238 Bounce XL,Bounce XL HD,82
269 Grit Xtra,Grit,81
310 MotorTrend FAST TV,Discovery Turbo,281
341 Spike Outdoors,Spike Outdoors,
380 ION Mystery,ION Mystery,
391 A&E Crime 360,A&E Crime 360,
407 Fox Soul,FOX Soul,
443 NHL,NHL Network HD,215
449 PGA TOUR,PGA Tour,
458 Fox Sports,FOX Sports 1,219
459 NBC Sports NOW,NBC Sports NOW,
465 FanDuel TV Extra,Fanduel TV Extra,
466 ESPN 8: The Ocho,ESPN8: The Ocho,
467 CBS Sports HQ,CBS Sports HQ,
468 MSG SportsZone,MSG SportsZone,
469 NESN Nation,NESN Nation,
475 HBO Boxing,HBO Boxing,
479 MavTV Select,RACER Select,214
484 Red Bull TV,Red Bull TV,
486 GOLFPASS,GolfPass,
512 Comedy Central Pluto TV,Comedy Central HD,249
514 Slightly Off IFC,IFC HD,33
6abc Philadelphia,ABC (WABC) NEW YORK,7
801 CNN Xpress,CNN Xpress,
812 TuDiscovery,Discovery Turbo,281
A&E US Eastern Feed HD,A&E HD,265
A&E US Eastern Feed SD,A&E SD,265
ABC,ABC (WABC) NEW YORK,7
ABC (KABC) Los Angeles HD,ABC (KABC) LOS ANGELES HD,6
ABC (KABC) Los Angeles SD,ABC (KABC) LOS ANGELES SD,6
ABC (WSOC),ABC (WABC) NEW YORK,7
ABC 10 (KAKE) WICHITA,ABC (KABC) LOS ANGELES,6
ABC 10 (KGTV) SAN DIEGO,ABC (KABC) LOS ANGELES,6
ABC 10 (KXTV) SACRAMENTO,ABC (KABC) LOS ANGELES,6
ABC 10 (WALB-DT2) ALBANY,ABC (WABC) NEW YORK,7
ABC 10 (WDIO) DULUTH/SUPERIOR,ABC (WABC) NEW YORK,7
ABC 10 (WPLG) MIAMI,ABC (WABC) NEW YORK,7
ABC 10 (WTEN) ALBANY,ABC (WABC) NEW YORK,7
ABC 11 (WHAS) LOUISVILLE,ABC (WABC) NEW YORK,7
ABC 11 (WJHL-DT2) TRI-CITIES,ABC (WABC) NEW YORK,7
ABC 11 (WTOK) MERIDIAN,ABC (WABC) NEW YORK,7
ABC 11 (WTVD) RALEIGH-DURHAM,ABC (WABC) NEW YORK,7
ABC 12 (KBMT) PORT ARTHUR,ABC (KABC) LOS ANGELES,6
ABC 12 (KDRV) MEDFORD,ABC (KABC) LOS ANGELES,6
ABC 12 (KSAT) SAN ANTONIO,ABC (KABC) LOS ANGELES,6
ABC 12 (WISN) MILWAUKEE,ABC (WABC) NEW YORK,7
ABC 13 (KTNV) LAS VEGAS,ABC (KABC) LOS ANGELES,6
ABC 13 (KTRK) HOUSTON,ABC (KABC) LOS ANGELES,6
ABC 13 (KYUR) ANCHORAGE,ABC (KABC) LOS ANGELES,6
ABC 13 (WVEC) NORFOLK,ABC (WABC) NEW YORK,7
ABC 13 (WZZM) GRAND RAPIDS,ABC (WABC) NEW YORK,7
ABC 16 (WNEP) WILKES BARRE,ABC (WABC) NEW YORK,7
ABC 2 (KATU) PORTLAND,ABC (KABC) LOS ANGELES,6
ABC 2 (WBAY-TV2) GREEN BAY/APPLETON,ABC (WABC) NEW YORK,7
ABC 2 (WKRN) NASHVILLE,ABC (WABC) NEW YORK,7
ABC 2 (WMAR) BALTIMORE,ABC (WABC) NEW YORK,7
ABC 2 (WSB) ATLANTA,ABC (WABC) NEW YORK,7
ABC 20 (WCJB) GAINESVILLE,ABC (WABC) NEW YORK,7
ABC 21 (WPTA) FORT WAYNE,ABC (WABC) NEW YORK,7
ABC 22 (WKEF) DAYTON,ABC (WABC) NEW YORK,7
ABC 24 (WATN) MEMPHIS,ABC (WABC) NEW YORK,7
ABC 25 (WTLV/WJXX) JACKSONVILLE,ABC (WABC) NEW YORK,7
ABC 27 (WKOW) MADISON,ABC (WABC) NEW YORK,7
ABC 28 (KAMC) LUBBOCK,ABC (KABC) LOS ANGELES,6
ABC 28 (WFTS) TAMPA/SAINT PETERSBURG,ABC (WABC) NEW YORK,7
ABC 29 (WGTU) CADILLAC/TRAVERSE CITY,ABC (WABC) NEW YORK,7
ABC 3 (KEYT) SANTA BARBARA/SANTA MARIA/SAN LUIS OBISPO,ABC (KABC) LOS ANGELES,6
ABC 3 (KIII) CORPUS CHRISTI,ABC (KABC) LOS ANGELES,6
ABC 3 (KTBS) SHREVEPORT,ABC (KABC) LOS ANGELES,6
ABC 3 (WSIL) PADUCAH/CAPE GIRARDEAU/HARRISBURG/MT VERNO,ABC (WABC) NEW YORK,7
ABC 30 (KFSN) FRESNO/VISALIA,ABC (KABC) LOS ANGELES,6
ABC 33 (KSPR) MISSOURI,ABC (KABC) LOS ANGELES,6
ABC 34 (WIVT) BINGHAMTON,ABC (WABC) NEW YORK,7
ABC 4 (KITV) HONOLULU,ABC (KABC) LOS ANGELES,6
ABC 4 (KOMO) SEATTLE,ABC (KABC) LOS ANGELES,6
ABC 4 (KTVX) SALT LAKE CITY,ABC (KABC) LOS ANGELES,6
ABC 4 (WCIV) CHARLESTON,ABC (WABC) NEW YORK,7
ABC 4 (WTAE) PITTSBURGH,ABC (WABC) NEW YORK,7
ABC 45 (WXLV) WINSTON-SALEEM,ABC (WABC) NEW YORK,7
ABC 5 (KRGV) HARLINGEN/WESLACO/BROWNSVILLE/MCALLEN,ABC (KABC) LOS ANGELES,6
ABC 5 (KSTP) ST. PAUL,ABC (KABC) LOS ANGELES,6
ABC 5 (WCVB) BOSTON,ABC (WABC) NEW YORK,7
ABC 5 (WEWS) CLEVELAND,ABC (WABC) NEW YORK,7
ABC 6 (WDAY) FARGO/VALLEY CITY,ABC (WABC) NEW YORK,7
ABC 6 (WJBF) AUGUSTA,ABC (WABC) NEW YORK,7
ABC 6 (WPVI) PHILADELPHIA,ABC (WABC) NEW YORK,7
ABC 6 (WRTV) INDIANAPOLIS,ABC (WABC) NEW YORK,7
ABC 7 (KABC) LOS ANGELES,ABC (KABC) LOS ANGELES HD,6
ABC 7 (KGO) SAN FRANCISCO,ABC (KABC) LOS ANGELES,6
ABC 7 (KMGH) DENVER,ABC (KABC) LOS ANGELES,6
ABC 7 (KOAT) NEW MEXICO,ABC (KABC) LOS ANGELES,6
ABC 7 (KVIA) EL PASO,ABC (KABC) LOS ANGELES,6
ABC 7 (WABC) NEW YORK,ABC (WABC) NEW YORK HD,7
ABC 7 (WLS) CHICAGO,ABC (WABC) NEW YORK,7
ABC 7 (WXYZ) DETROIT,ABC (WABC) NEW YORK,7
ABC 8 (KTUL) TULSA,ABC (KABC) LOS ANGELES,6
ABC 8 (WFAA) DALLAS,ABC (WABC) NEW YORK,7
ABC 8 (WMTW) PORTLAND/AUBURN,ABC (WABC) NEW YORK,7
ABC 8 (WQAD) MOLINE,ABC (WABC) NEW YORK,7
ABC 8 (WRIC) PETERSBURG,ABC (WABC) NEW YORK,7
ABC 8 (WTNH) HARTFORD/NEW HAVEN,ABC (WABC) NEW YORK,7
ABC 9 (KMBC) KANSAS CITY,ABC (KABC) LOS ANGELES,6
ABC 9 (WFTV) ORLANDO,ABC (WABC) NEW YORK,7
ABC 9 (WSOC) CHARLOTTE,ABC (WABC) NEW YORK,7
ABC 9 (WSYR) SYRACUSE,ABC (WABC) NEW YORK,7
ABC News Live,ABC NEWS LIVE,
ABC News Live (USA),ABC NEWS LIVE,
ABC USA (WABC),ABC (WABC) NEW YORK HD,7
ABC USA (WFTS),ABC (WABC) NEW YORK,7
ABC2 (WBRZ) BATON ROUGE,ABC (WABC) NEW YORK,7
ABC7 Bay Area,ABC (KABC) LOS ANGELES,6
ABC7 Chicago,ABC (WABC) NEW YORK,7
ABC7 Los Angeles,ABC (KABC) LOS ANGELES HD,6
ABC7 New York,ABC (WABC) NEW YORK HD,7
ABC7 Sarasota,ABC (WABC) NEW YORK,7
ACC Digital Network (USA),ACC Digital Network,
ACC NETWORK,ACC Network HD,612
ACC Network (Alternate),ACC Network,612
ACCDN,ACC Digital Network,
Altitude Sports,Altitude Sports HD,681
Altitude Sports Denver HD,Altitude Sports HD,681
Altitude Sports Denver SD,Altitude Sports SD,681
AMC,AMC HD,254
AMC East (1080p),AMC HD,254
AMC (Alternate 2),AMC,254
AMC (Alternate),AMC,254
AMC East,AMC HD,254
AMC Eastern Feed HD,AMC HD,254
AMC Eastern Feed SD,AMC SD,254
Animal Planet,Animal Planet HD,282
Animal Planet (Alternate),Animal Planet,282
Animal Planet US East HD,Animal Planet HD,282
Animal Planet US East SD,Animal Planet SD,282
AXS TV Now,AXS TV,340
Bally Sports Midwest,Fanduel Sports Network Midwest,671
Bally Sports South,Fanduel Sports Network South HD,646
BBC AMERICA,BBC America HD,264
BBC America (Alternate),BBC America,264
BBC America East HD,BBC America HD,264
BBC America East SD,BBC America SD,264
BBC News,BBC NEWS,346
BBC News (North America),BBC NEWS,346
BBC News (USA),BBC NEWS,346
BBC News North America HD HD,BBC NEWS HD,346
BBC News North America HD SD,BBC NEWS SD,346
BBC WORLD NEWS,News,
Big 12 Studios (USA),Big 12 Studios,
Bounce (Alternate),Bounce XL,82
Bounce XL (USA),Bounce XL HD,82
CBS,CBS (WCBS) NEW YORK HD,3
CBS (KCBS) Los Angeles HD,CBS (KCBS) LOS ANGELES HD,2
CBS (KCBS) Los Angeles SD,CBS (KCBS) LOS ANGELES SD,2
CBS (KKTV),CBS (KCBS) LOS ANGELES HD,2
CBS (KTXA) FORT WORTH,CBS (KCBS) LOS ANGELES,2
CBS (WHIO),CBS (WCBS) NEW YORK,3
CBS (WKMG),CBS (WCBS) NEW YORK,3
CBS (WSBK),CBS (WCBS) NEW YORK,3
CBS 10 (KLFY) LAFAYETTE,CBS (KCBS) LOS ANGELES,2
CBS 10 (KOLR) SPRINGFIELD,CBS (KCBS) LOS ANGELES,2
CBS 10 (KTVL) MEDFORD,CBS (KCBS) LOS ANGELES,2
CBS 10 (KZTV) CORPUS CHRISTI,CBS (KCBS) LOS ANGELES,2
CBS 10 (WBNS) COLUMBUS,CBS (WCBS) NEW YORK,3
CBS 10 (WTAJ) ALTOONA,CBS (WCBS) NEW YORK,3
CBS 11 (KELO) SIOUX FALLS,CBS (KCBS) LOS ANGELES,2
CBS 11 (KHOU) HOUSTON,CBS (KCBS) LOS ANGELES,2
CBS 11 (KTHV) LITTLE ROCK,CBS (KCBS) LOS ANGELES,2
CBS 11 (WJHL) JOHNSON CITY,CBS (WCBS) NEW YORK,3
CBS 11 (WTOL) TOLEDO,CBS (WCBS) NEW YORK,3
CBS 12 (KCOY) SANTA BARBARA/SANTA MARIA/SAN LUIS OBISPO,CBS (KCBS) LOS ANGELES,2
CBS 12 (KFVS) PADUCAH/CAPE GIRARDEAU/HARRISBURG/MT VERNO,CBS (KCBS) LOS ANGELES,2
CBS 12 (WBNG) BINGHAMTON,CBS (WCBS) NEW YORK,3
CBS 12 (WDEF) CHATTANOOGA,CBS (WCBS) NEW YORK,3
CBS 12 (WJTV) JACKSON,CBS (WCBS) NEW YORK,3
CBS 12 (WKRC) CINCINNATI,CBS (WCBS) NEW YORK,3
CBS 12 (WPEC) WEST PALM BEACH,CBS (WCBS) NEW YORK,3
CBS 12 (WPRI) PROVIDENCE,CBS (WCBS) NEW YORK,3
CBS 13 (KLBK) LUBBOCK,CBS (KCBS) LOS ANGELES,2
CBS 13 (KRQE) ALBUQUERQUE,CBS (KCBS) LOS ANGELES,2
CBS 13 (WBTW) FLORENCE,CBS (WCBS) NEW YORK,3
CBS 13 (WGME) PORTLAND/AUBURN,CBS (WCBS) NEW YORK,3
CBS 13 (WJZ) BALTIMORE,CBS (WCBS) NEW YORK,3
CBS 13 (WMAZ) MACON,CBS (WCBS) NEW YORK,3
CBS 13 (WOWK) HUNTINGTON,CBS (WCBS) NEW YORK,3
CBS 15 (WANE) FORT WAYNE,CBS (WCBS) NEW YORK,3
CBS 17 (WNCN) GOLDSBORO,CBS (WCBS) NEW YORK,3
CBS 19 (WLTX) COLUMBIA,CBS (WCBS) NEW YORK,3
CBS 19 (WOIO) CLEVELAND,CBS (WCBS) NEW YORK,3
CBS 19 (WOIO) SHAKER HEIGHTS,CBS (WCBS) NEW YORK,3
CBS 2 (KBOI) BOISE,CBS (KCBS) LOS ANGELES,2
CBS 2 (KCBS) LOS ANGELES,CBS (KCBS) LOS ANGELES HD,2
CBS 2 (KDKA) PITTSBURGH,CBS (WCBS) NEW YORK,3
CBS 2 (KGAN) CEDAR RAPIDS,CBS (KCBS) LOS ANGELES,2
CBS 2 (KREM) SPOKANE,CBS (KCBS) LOS ANGELES,2
CBS 2 (KTVN) RENO,CBS (KCBS) LOS ANGELES,2
CBS 2 (KUTV) SALT LAKE CITY,CBS (KCBS) LOS ANGELES,2
CBS 2 (WBBM) CHICAGO,CBS (WCBS) NEW YORK,3
CBS 2 (WCBS) NEW YORK,CBS (WCBS) NEW YORK HD,3
CBS 2 (WFMY) GREENSBORO/HIGH POINT/WINSTON-SALEM,CBS (WCBS) NEW YORK,3
CBS 21 (WHP) HARRISBURG,CBS (WCBS) NEW YORK,3
CBS 22 (KTVA) ANCHORAGE,CBS (KCBS) LOS ANGELES,2
CBS 22 (WYOU) SCRANTON,CBS (WCBS) NEW YORK,3
CBS 27 (WKBN) YOUNGSTOWN,CBS (WCBS) NEW YORK,3
CBS 29 (KBAK) BAKERSFIELD,CBS (KCBS) LOS ANGELES,2
CBS 29 (KIMA) YAKIMA,CBS (KCBS) LOS ANGELES,2
CBS 3 (WBTV) CHARLOTTE,CBS (WCBS) NEW YORK,3
CBS 3 (WCIA) CHAMPAIGN,CBS (WCBS) NEW YORK,3
CBS 3 (WFSB) HARTFORD,CBS (WCBS) NEW YORK,3
CBS 3 (WWAY) WILMINGTON,CBS (WCBS) NEW YORK,3
CBS 3 (WWMT) KALAMAZOO,CBS (WCBS) NEW YORK,3
CBS 31 (WMBD) PEORIA,CBS (WCBS) NEW YORK,3
CBS 4 (KCNC) DENVER,CBS (KCNC) DENVER,21
CBS 4 (KDBC) EL PASO,CBS (KCBS) LOS ANGELES,2
CBS 4 (KGBT) HARLINGEN,CBS (KCBS) LOS ANGELES,2
CBS 4 (WBZ) BOSTON,CBS (WBZ) BOSTON,31
CBS 4 (WCBI) COLUMBUS,CBS (WCBS) NEW YORK,3
CBS 4 (WCCO) MINNEAPOLIS/ST. PAUL,CBS (WCBS) NEW YORK,3
CBS 4 (WFOR) MIAMI,CBS (WCBS) NEW YORK,3
CBS 4 (WGFL) GAINESVILLE,CBS (WCBS) NEW YORK,3
CBS 4 (WHBF) ROCK ISLAND,CBS (WCBS) NEW YORK,3
CBS 4 (WIVB) BUFFALO,CBS (WCBS) NEW YORK,3
CBS 4 (WWL) NEW ORLEANS,CBS (WCBS) NEW YORK,3
CBS 42 (WIAT) BIRMINGHAM,CBS (WCBS) NEW YORK,3
CBS 46 (WGCL) ATLANTA,CBS (WCBS) NEW YORK,3
CBS 47 (KGPE) FRENSO,CBS (KCBS) LOS ANGELES,2
CBS 47 (WJAX) JACKSONVILLE,CBS (WCBS) NEW YORK,3
CBS 5 (KCTV) KANSAS CITY,CBS (KCBS) LOS ANGELES,2
CBS 5 (KENS) SAN ANTONIO,CBS (KCBS) LOS ANGELES,2
CBS 5 (KFSM) FT. SMITH,CBS (KCBS) LOS ANGELES,2
CBS 5 (KGMB) HONOLULU,CBS (KCBS) LOS ANGELES,2
CBS 5 (KPIX) SAN FRANCISCO,CBS (KCBS) LOS ANGELES,2
CBS 5 (WCSC) CHARLESTON,CBS (WCBS) NEW YORK,3
CBS 5 (WFRV) GREEN BAY,CBS (WCBS) NEW YORK,3
CBS 5 (WKRG) MOBILE,CBS (WCBS) NEW YORK,3
CBS 5 (WTVF) NASHVILLE,CBS (WCBS) NEW YORK,3
CBS 5 (WTVH) SYRACUSE,CBS (WCBS) NEW YORK,3
CBS 58 (WDJT) MILWAUKEE,CBS (WCBS) NEW YORK,3
CBS 6 (KOIN) PORTLAND,CBS (KCBS) LOS ANGELES,2
CBS 6 (KOTV) TULSA,CBS (KCBS) LOS ANGELES,2
CBS 6 (WCTV) TALLAHASSEE,CBS (WCBS) NEW YORK,3
CBS 6 (WKMG) ORLANDO,CBS (WCBS) NEW YORK,3
CBS 6 (WLNS) LANSING,CBS (WCBS) NEW YORK,3
CBS 6 (WRGB) SCHENECTADY,CBS (WCBS) NEW YORK,3
CBS 62 (WWJ) DETROIT,CBS (WCBS) NEW YORK,3
CBS 7 (KIRO) SEATTLE,CBS (KCBS) LOS ANGELES,2
CBS 7 (WDBJ) ROANOKE,CBS (WCBS) NEW YORK,3
CBS 7 (WSPA) SPARTANBURG,CBS (WCBS) NEW YORK,3
CBS 8 (KFMB) SAN DIEGO,CBS (KCBS) LOS ANGELES,2
CBS 8 (KLAS) LAS VEGAS,CBS (KCBS) LOS ANGELES,2
CBS 8 (WAKA) SELMA,CBS (WCBS) NEW YORK,3
CBS 8 (WKBT) LA CROSSE,CBS (WCBS) NEW YORK,3
CBS 9 (KWTV) OKLAHOMA CITY,CBS (KCBS) LOS ANGELES,2
CBS 9 (WNCT) GREENVILLE,CBS (WCBS) NEW YORK,3
CBS 9 (WUSA) WASHINGTON,CBS (WCBS) NEW YORK,3
CBS News,CBS NEWS,
CBS News 24/7,CBS NEWS 24/7,
CBS News 24/7 (USA),CBS NEWS 24/7,
CBS Sports HQ (USA),CBS Sports HQ,
CBS SPORTS NETWORK,CBS Sports Network,221
CBS Sports Network USA HD,CBS Sports Network HD,221
CBS Sports Network USA SD,CBS Sports Network SD,221
CHGO Sports,Chicago Sports Network,
CINEMAX (Alternate),Cinemax,515
CINEMAX EAST,Cinemax HD,515
Cinemax Eastern Feed HD,Cinemax HD,515
Cinemax Eastern Feed SD,Cinemax SD,515
CINEMAX MOREMAX,MoreMax HD,
CINEMAX WEST,Cinemax,515
CNBC USA HD,CNBC HD,355
CNBC USA SD,CNBC SD,355
CNN HEADLINES,CNN Headlines,
CNN INTERNATIONAL,CNN International,
CNN US HD,CNN HD,202
CNN US SD,CNN SD,202
CNN XPRESS,CNN Xpress,
